original,uniformat,equivalent
&Lubos Pástor,&Lubos Pástor,['&Lubos Pástor']
"Hao, (Grace) Qing",(Grace) Qing Hao,"['Hao, (Grace) Qing']"
1816-1906,1816-1906,['1816-1906']
?kos Valentinyi,?kos Valentinyi,['?kos Valentinyi']
"Auquier, A A",A A Auquier,"['Auquier, A A']"
"Ryvkin, A A",A A Ryvkin,"['Ryvkin, A A']"
"Schmid, A Allan",A Allan Schmid,"['Schmid, A Allan']"
"Anastasopoulos, A",A Anastasopoulos,"['Anastasopoulos, A']"
"Arnon, A",A Arnon,"['Arnon, A']"
"Salem, A B Z",A B Z Salem,"['Salem, A B Z']"
"Ben-Israel, A",A Ben-Israel,"['Ben-Israel, A']"
"Ben-Tal, A",A Ben-Tal,"['Ben-Tal, A']"
"DeSerpa, A C",A C DeSerpa,"['DeSerpa, A C', 'DeSerpa, Allan C.']"
"MacKinley, A Craig",A Craig MacKinley,"['MacKinley, A Craig']"
"Cukierman, A",A Cukierman,"['Cukierman, A', 'Alex Cukierman', 'Cukierman, Alexander', 'Cukierman, Alex']"
"Bain, A D",A D Bain,"['Bain, A D']"
"Owen, A D",A D Owen,"['Owen, A D']"
"Woodland, A D",A D Woodland,"['Woodland, A D', 'Woodland, A. D.', 'Woodland, Alan D.', 'Woodland, Alan', 'A. D. Woodland', 'Woodland, Alan D', 'Woodland, A.D.']"
"Drobny, A",A Drobny,"['Drobny, A', 'Drobny, Andres']"
"Fareed, A E",A E Fareed,"['Fareed, A E']"
"Safarian, A E",A E Safarian,"['Safarian, A E']"
"Abrassart, A Eugene",A Eugene Abrassart,"['Abrassart, A Eugene']"
"Trotman-Dickenson, A F",A F Trotman-Dickenson,"['Trotman-Dickenson, A F']"
"Holtmann, A G",A G Holtmann,"['Holtmann, A G', 'A. G. Holtmann']"
"Glazer, A",A Glazer,"['Glazer, A', 'Glazer, Amihai', 'Amihai Glazer']"
"Buckman, A Gregory",A Gregory Buckman,"['Buckman, A Gregory']"
"Robertson, A Haeworth",A Haeworth Robertson,"['Robertson, A Haeworth']"
"Heertje, A",A Heertje,"['Heertje, A', 'Heertje, Arnold']"
"MacBean, A I",A I MacBean,"['MacBean, A I']"
"Macbean, A I",A I Macbean,"['Macbean, A I']"
"Kalotay, A J",A J Kalotay,"['Kalotay, A J']"
"Lerro, A J",A J Lerro,"['Lerro, A J']"
"Rayner, A J",A J Rayner,"['Rayner, A J']"
"Senchack, A J, Jr",A J Senchack,"['Senchack, A J, Jr']"
"Boness, A James",A James Boness,"['Boness, A James', 'A. James Boness', 'Boness, A J']"
