referred_to,referring
18647,77665
18647,81832
18647,39536
18647,39294
18666,81519
18666,30873
18666,18667
18666,39478
18666,77263
18669,81761
18669,60090
18645,27761
18688,19860
18670,39537
18670,52279
18690,63762
18690,55003
18691,63122
18695,63254
18695,63298
18695,59864
18696,63427
18696,54964
18696,63441
18696,63570
18671,27819
18671,45990
18710,63703
18673,19477
18715,63428
18716,42048
18716,42399
18717,63428
18728,63531
18729,77819
18729,20468
18729,20869
18729,78232
18729,81700
18730,20468
18732,77819
18733,20471
18733,59739
18675,20428
18735,82008
18737,27810
18739,52168
18739,59976
18740,5096
18740,19494
18740,20390
18740,77913
18740,59879
18740,63156
18743,72386
18743,20877
18746,63329
18746,18745
18746,62968
18748,4990
18750,26752
18750,19860
18750,72356
18750,42095
18750,55035
18750,82187
18751,82105
18753,63361
18753,55140
18677,26440
18677,72655
18677,39336
18677,72523
18755,39591
18760,27847
18762,26582
18763,26644
18763,26640
18764,26400
18764,26644
18764,48282
18765,72462
18767,26615
18768,39488
18768,81741
18768,71738
18768,72858
18769,26394
18770,26719
18770,46183
18770,26202
18770,39350
18770,48167
18770,39527
18771,46142
18771,81517
18771,81688
18771,39585
18772,39273
18772,26395
18773,26323
18773,19340
18773,39322
18775,55111
18775,71893
18776,72238
18679,72454
18679,26504
18679,26351
18679,39365
18679,54863
18679,26201
18679,26289
18781,77883
18782,27870
18783,27870
18786,20447
18786,81677
18786,67205
18790,18886
18791,27801
18791,59824
18791,17929
18791,42123
18806,41369
18682,55061
18682,30906
18684,55003
18684,55062
18684,59380
18684,59423
18684,54954
18685,63537
18685,63014
18686,59841
18822,72892
18822,31044
18824,81763
18825,77714
18828,68098
18828,24045
18834,55291
18814,78261
18814,78147
18814,77668
18819,60043
18819,60049
18819,82085
18819,81737
18843,42104
18844,63440
18844,63114
18844,63374
18844,63335
18844,27878
18846,59667
18846,59839
18848,39656
18848,5244
18851,55277
18853,51982
18853,63526
18860,78121
18860,20421
18871,78056
18871,77832
18871,78065
18880,81840
18888,18890
18886,27928
18886,27902
18923,81812
18925,27807
18925,27808
18909,77987
18913,81819
18913,81557
18913,27720
18913,81890
18913,77904
18913,81565
18915,30907
18919,31033
18943,42311
18944,72306
18944,26417
18944,26667
18945,81659
18945,26667
18945,26361
18945,73932
18945,31115
18945,26418
18945,26803
18946,72306
18946,26657
18946,26667
18946,72079
18947,26478
18947,73932
18947,26667
18947,72040
18947,72326
18947,72079
18948,36821
18949,26743
18952,20957
18954,27869
18958,60348
18962,26743
18962,26176
18962,48141
18927,60044
18966,73005
18966,72047
18968,60095
18969,60088
18973,82025
18976,20431
18978,39340
18978,54979
18980,63940
18980,72835
18983,82154
18983,59682
18985,59525
18986,51926
18988,18990
18993,5013
18997,20467
19000,30951
19002,59997
19003,27821
19003,71832
19003,63301
19004,63814
19004,18926
19004,63454
19006,27810
19006,52208
19008,5074
19011,27784
19015,63456
19015,5036
19015,63563
19016,27857
19016,63735
19016,63651
19016,20030
19025,72068
19025,73010
19027,63539
19027,63366
19029,55226
19033,52156
19035,20318
19035,20507
19039,26699
19044,18886
19045,42123
19045,59824
19045,27801
19045,17929
19060,41369
18939,81476
18939,59745
18941,59742
19063,39459
19064,81947
19076,39389
19076,52155
19076,55201
19076,39457
19076,39522
19076,19076
19078,20258
19081,19906
19081,78223
19081,19081
19081,77751
19082,77951
19083,72479
19084,78144
19084,78240
19086,19086
19091,19397
19093,63093
19094,20421
19094,19887
19094,78121
19094,26718
19102,59773
19102,63279
19111,81637
19128,39305
19128,30908
19128,78089
19128,39071
19128,20468
19128,20137
19133,19857
19133,26537
19136,39509
19136,27834
19141,78096
19147,42210
19147,55193
19147,77993
19147,60045
19147,55224
19152,26784
19152,26733
